    1.709	   -1.820	   -1.155	    0.681	   -1.371	    0.022	    1.028	   -0.792	    0.666	    2.305
    2.905	   -1.283	   -0.603	    2.153	   -1.659	    0.195	   -0.259	   -1.498	    1.738	    3.877
    3.520	   -1.815	   -1.293	    1.800	   -1.578	    0.912	    0.400	   -1.901	    0.552	    4.813
    4.570	   -2.975	   -1.817	    0.536	   -1.466	    1.607	    1.861	   -0.202	    1.080	    3.863
    3.681	   -0.820	   -3.381	   -1.147	   -0.934	    0.920	    0.612	   -1.330	    0.391	    3.912
    2.416	    0.403	   -2.332	   -1.998	   -1.484	    2.701	    1.617	   -2.074	    1.598	    6.043
    1.260	   -0.794	   -1.005	   -2.222	   -3.129	    1.757	    1.147	   -2.983	    2.396	    5.903
    0.215	   -1.263	   -0.591	   -1.835	   -1.926	    1.919	    2.799	   -5.350	    1.299	    6.583
    0.851	   -2.644	   -1.835	   -1.796	   -2.661	    1.655	    2.823	   -6.675	    2.115	    7.012
   -0.081	   -2.067	   -1.012	   -1.101	   -2.203	    2.164	    3.021	   -6.985	    0.970	    5.028
    0.838	   -2.734	   -0.075	   -1.167	   -2.114	    1.851	    5.332	   -5.916	    0.605	    4.711
    0.661	   -3.315	   -1.747	    0.080	   -3.613	   -0.205	    4.239	   -6.113	    0.666	    3.352
    2.259	   -1.093	   -1.096	   -0.359	   -3.567	   -0.245	    5.299	   -5.694	    0.285	    2.401
    1.614	   -1.955	    0.634	   -0.876	   -3.435	    0.846	    3.247	   -4.459	    1.153	    1.793
    0.450	   -2.930	    0.423	   -0.092	   -3.791	    1.986	    4.222	   -4.281	    1.693	    2.499
    1.681	   -2.341	    1.932	   -0.173	   -2.763	    3.447	    4.742	   -3.594	    1.513	    3.168
    1.595	   -1.843	    2.852	   -1.073	   -3.374	    3.108	    4.008	   -3.301	   -0.120	    3.314
    1.449	   -0.006	    1.867	   -1.361	   -3.221	    4.515	    3.255	   -3.138	    0.160	    3.146
    1.966	    0.458	    1.835	   -2.367	   -2.565	    4.146	    2.977	   -4.309	   -0.520	    3.599
    2.518	    0.386	    3.525	   -2.384	   -2.806	    2.673	    4.283	   -6.286	   -0.524	    2.804
    2.284	    0.586	    2.378	   -2.290	   -4.742	    3.296	    4.578	   -7.083	    0.294	    3.314
    2.752	    2.138	    2.520	   -1.400	   -5.068	    1.737	    5.074	   -6.198	   -0.577	    2.283
    1.791	    4.943	   -0.590	   -1.995	   -4.142	    1.956	    4.448	   -5.110	    0.261	    1.284
    3.377	    5.069	   -1.552	   -3.273	   -3.581	    1.141	    5.929	   -5.450	    0.439	    1.700
    3.618	    4.807	   -1.615	   -1.364	   -5.600	    1.681	    5.435	   -6.039	    0.040	    1.793
    2.308	    5.315	   -0.906	   -0.727	   -5.658	    1.498	    4.688	   -7.562	   -1.282	    1.847
    1.570	    7.923	   -0.750	   -0.034	   -6.098	    0.317	    6.937	   -7.691	   -1.338	    0.455
    2.959	    7.084	   -0.726	    0.589	   -5.618	    0.452	    6.902	   -7.070	    0.352	   -0.012
    1.951	    6.528	   -2.429	    2.752	   -5.627	    0.845	    5.766	   -7.158	    0.128	    0.239
    2.719	    6.759	   -2.389	    3.553	   -7.525	    0.387	    6.063	   -8.732	    1.158	    2.197
    2.423	    4.945	   -2.061	    4.123	   -8.203	    0.860	    5.407	   -9.116	   -0.145	    0.260
    3.234	    4.929	   -2.619	    6.239	   -8.277	    1.014	    4.777	   -8.089	    0.478	    1.135
    4.376	    2.985	   -3.492	    5.785	   -8.352	   -0.751	    2.992	   -8.287	    0.367	    3.126
    5.630	    3.200	   -3.599	    5.457	   -7.724	   -1.638	    4.363	   -9.645	    0.902	    2.414
    5.733	    0.394	   -3.127	    7.076	   -6.201	   -1.690	    4.121	   -8.093	    1.080	    3.876
    5.348	    0.975	   -3.945	    6.078	   -5.839	   -0.708	    4.264	   -9.100	    1.098	    4.349
    4.660	    1.169	   -3.913	    4.529	   -5.713	   -0.093	    2.669	   -7.456	    2.021	    3.357
    4.086	    2.159	   -4.041	    4.937	   -6.853	   -0.887	    2.133	   -8.727	    1.901	    1.289
    4.422	    2.353	   -3.838	    4.805	   -6.202	    0.990	    0.499	   -8.491	    1.627	   -1.521
    4.431	    0.905	   -4.366	    4.279	   -5.286	    2.164	   -0.200	   -9.737	    0.691	   -3.357
    6.795	    0.453	   -4.076	    4.885	   -4.380	    2.576	    0.672	   -9.117	    2.859	   -2.267
